esp32_temperature_(°c),stm32_voltage_(v),stm32_temperature_(°c),ultrasonic_response_time_(s),servo_temperature_(°c),ultrasonic_voltage_(v),motor_driver_temperature_(°c),servo_voltage_(v),servo_vibration_(g),universal_voltage_(v),motor_driver_voltage_(v),servo_motor_voltage_(v),faulty_component,universal_motor_voltage_(v),ultrasonic_signal_loss,universal_current_(a),universal_motor_current_(a),stm32_current_(a),ultrasonic_temperature_(°c),timestamp,motor_driver_current_(a),servo_motor_current_(a),universal_noise_(db),servo_current_(a),esp32_voltage_(v),esp32_current_(a),stm_temperature_(°c),universal_temperature_(°c)
36.207095399341895,3.3,62.17012669534127,0.0480126867645984,49.721429215171206,4.974832585091964,83.31621648048156,5.821465134564004,1.2994227048171476,122.63196978064376,7.489939296677991,,None,,,2.8987571025682985,,0.3802542547390551,49.74272361386555,2025-01-01 00:00:00,0.3633119834036072,,84.16968949187715,0.4617347932264293,3.3,0.0706660083729384,,76.7141131740695
43.25357061719392,3.3,30.53065683749112,0.0732466934110658,53.41343271977368,5.155491271864116,37.489928324848094,5.701410320808789,1.50852727738582,210.77965712220532,8.925489393579685,,None,,,1.3082830227496651,,0.4890979544038682,29.559318543466823,2025-01-01 01:00:00,0.9041246787874972,,58.36353142748951,0.933364510404431,3.3,0.0841748504643925,,69.52177696190233
42.02868938293776,3.3,52.79604397179358,0.0268565041361402,34.58132450132128,4.760900838503173,89.07176270902437,5.064987279997053,1.6048785551978992,211.8112372167465,9.161503797956,,None,,,2.4268245150678496,,0.2157629782176416,45.69984468399984,2025-01-01 02:00:00,0.7700805709158134,,94.80045390189775,0.3174923007477679,3.3,0.0915442399569491,,93.87623331575652
49.274947435466224,3.3,39.80054027392437,0.0239709577154381,36.43200119528692,5.487621592654457,80.40183369718366,4.932706539815908,1.807574156373459,219.9991448696722,5.895503532347293,,None,,,4.683234323840177,,0.095810978285404,36.835837718706166,2025-01-01 03:00:00,0.9794299624550477,,69.71371562850754,0.2657748587849186,3.3,0.1603784282435474,,40.70787234278843
59.03311405916881,3.3,52.8625950887565,0.0103936270076709,75.9776942892872,4.904703751866464,80.0554039743965,4.83120138231129,1.3339467016561668,113.13659350169156,9.224428801817451,,None,,,1.3575664733338977,,0.2334904257162353,46.503043487512926,2025-01-01 04:00:00,1.610730481818497,,84.11495731830024,0.2079733416578839,3.3,0.0861139884028495,,59.21375754268378
35.186116836412026,3.3,51.08135951514412,0.0416248970819907,33.40610049181303,4.765183497478426,62.40330569220016,5.199225893219769,0.50479793981941,131.27485583387232,5.027834374833388,,None,,,1.767126897366837,,0.0648160449657032,31.322679241149707,2025-01-01 05:00:00,0.6660524812562777,,74.66952483581598,0.3454209438535133,3.3,0.1131067525921862,,79.48658886752459
43.97922064689829,3.3,59.46258838402549,0.0182939644632702,78.94281708221538,4.972230192003151,46.65527905193143,4.9142900532437,0.4163333618039472,148.57413654689265,6.053026752325167,,None,,,1.8927373640120355,,0.4065197829120427,45.903010523029096,2025-01-01 06:00:00,1.5099651956538778,,89.88756799289015,0.748899229624859,3.3,0.2729401177459019,,69.67717948186966
34.71122599884281,3.3,55.61532937974753,0.0248995012894761,50.22623094850398,4.779823590098174,47.893417398978336,5.642711459619677,1.808299843422018,143.0456884333917,9.748318347356085,,None,,,0.9854234775441416,,0.324085556633038,31.0547079004307,2025-01-01 07:00:00,0.4835281408114228,,68.0917372684498,0.6777018294657556,3.3,0.1759875997189908,,87.42542898678232
32.57647328860696,3.3,35.82201128956448,0.0343595564044538,61.65070649083181,4.617800767439158,65.93816123542214,5.3639067501568665,0.2709692185954375,232.8800993175816,7.738259013278734,,None,,,3.209128192847978,,0.4538967895401946,27.424841294087944,2025-01-01 08:00:00,1.8714260689979616,,94.9431847953242,0.4562994794369401,3.3,0.084364235774048,,97.84360084382892
38.82555884413921,3.3,35.05314965740466,0.0273051182017445,69.27944860071148,4.565984406606591,66.09644755593213,4.872387316357012,1.749281573617807,228.40359333764084,6.766378663276416,,None,,,4.896008581730229,,0.3112906138082356,29.15281561421425,2025-01-01 09:00:00,1.925990580472892,,51.7837779484718,0.3007202442682701,3.3,0.1855249653382843,,91.37965618360016
51.065307862447725,3.3,50.871013588282864,0.0296943022110704,44.31874145222796,5.397357055604118,61.31968312925999,5.178034901810263,0.8356195031096254,184.70814089457872,6.228779066215729,,None,,,1.0798566337652773,,0.0687093508159214,29.42620189468308,2025-01-01 10:00:00,0.6165171407797683,,83.81379706265233,0.3308325726100315,3.3,0.2986787820859761,,57.95494360455884
